Hyperparameters,Average Loss
"{'batch_size': 64, 'dropout': 0.5, 'hidden_size': 128, 'learning_rate': 0.001, 'n_layers': 1, 'teacher_forcing_ratio': 0.5}",9.975626258441824
"{'batch_size': 16, 'dropout': 0.2, 'hidden_size': 128, 'learning_rate': 0.0001, 'n_layers': 3, 'teacher_forcing_ratio': 0.5}",10.377697821383299
"{'batch_size': 16, 'dropout': 0.0, 'hidden_size': 128, 'learning_rate': 0.001, 'n_layers': 2, 'teacher_forcing_ratio': 0.5}",9.971569917181236
"{'batch_size': 32, 'dropout': 0.1, 'hidden_size': 64, 'learning_rate': 0.0001, 'n_layers': 1, 'teacher_forcing_ratio': 0.7}",10.423100924877534
"{'batch_size': 32, 'dropout': 0.0, 'hidden_size': 128, 'learning_rate': 0.001, 'n_layers': 2, 'teacher_forcing_ratio': 0.7}",9.997476295763649
"{'batch_size': 32, 'dropout': 0.0, 'hidden_size': 32, 'learning_rate': 0.001, 'n_layers': 2, 'teacher_forcing_ratio': 1.0}",10.3692405473688
"{'batch_size': 16, 'dropout': 0.4, 'hidden_size': 32, 'learning_rate': 0.01, 'n_layers': 2, 'teacher_forcing_ratio': 0.7}",9.558856232428361
"{'batch_size': 16, 'dropout': 0.2, 'hidden_size': 64, 'learning_rate': 0.001, 'n_layers': 2, 'teacher_forcing_ratio': 1.0}",10.276211844548332
"{'batch_size': 64, 'dropout': 0.2, 'hidden_size': 64, 'learning_rate': 0.01, 'n_layers': 1, 'teacher_forcing_ratio': 0.7}",9.313918861683694
"{'batch_size': 16, 'dropout': 0.1, 'hidden_size': 256, 'learning_rate': 0.05, 'n_layers': 2, 'teacher_forcing_ratio': 1.0}",30.771229797533476
"{'batch_size': 64, 'dropout': 0.4, 'hidden_size': 64, 'learning_rate': 0.01, 'n_layers': 3, 'teacher_forcing_ratio': 0.5}",9.12026618419157
"{'batch_size': 32, 'dropout': 0.5, 'hidden_size': 128, 'learning_rate': 0.005, 'n_layers': 1, 'teacher_forcing_ratio': 0.5}",9.447095187182061
"{'batch_size': 16, 'dropout': 0.0, 'hidden_size': 128, 'learning_rate': 0.05, 'n_layers': 2, 'teacher_forcing_ratio': 0.7}",23.46334085189573
"{'batch_size': 16, 'dropout': 0.0, 'hidden_size': 128, 'learning_rate': 0.01, 'n_layers': 2, 'teacher_forcing_ratio': 1.0}",10.399633750181277
"{'batch_size': 16, 'dropout': 0.2, 'hidden_size': 32, 'learning_rate': 0.005, 'n_layers': 2, 'teacher_forcing_ratio': 1.0}",10.01562716320733
"{'batch_size': 16, 'dropout': 0.5, 'hidden_size': 256, 'learning_rate': 0.05, 'n_layers': 2, 'teacher_forcing_ratio': 0.7}",
"{'batch_size': 32, 'dropout': 0.0, 'hidden_size': 64, 'learning_rate': 0.0001, 'n_layers': 3, 'teacher_forcing_ratio': 0.7}",10.370092405325012
"{'batch_size': 64, 'dropout': 0.1, 'hidden_size': 64, 'learning_rate': 0.05, 'n_layers': 3, 'teacher_forcing_ratio': 1.0}",18.49931292479601
"{'batch_size': 64, 'dropout': 0.4, 'hidden_size': 128, 'learning_rate': 0.01, 'n_layers': 3, 'teacher_forcing_ratio': 1.0}",10.523185520700775
"{'batch_size': 16, 'dropout': 0.0, 'hidden_size': 128, 'learning_rate': 0.005, 'n_layers': 1, 'teacher_forcing_ratio': 0.5}",10.030759435515623
"{'batch_size': 64, 'dropout': 0.2, 'hidden_size': 256, 'learning_rate': 0.0001, 'n_layers': 2, 'teacher_forcing_ratio': 0.5}",10.382326909421893
"{'batch_size': 16, 'dropout': 0.5, 'hidden_size': 128, 'learning_rate': 0.0001, 'n_layers': 2, 'teacher_forcing_ratio': 0.7}",10.408045520840641
"{'batch_size': 64, 'dropout': 0.5, 'hidden_size': 256, 'learning_rate': 0.0001, 'n_layers': 3, 'teacher_forcing_ratio': 0.5}",10.369185400371823
"{'batch_size': 64, 'dropout': 0.2, 'hidden_size': 64, 'learning_rate': 0.01, 'n_layers': 1, 'teacher_forcing_ratio': 0.5}",9.58754516445017
"{'batch_size': 32, 'dropout': 0.5, 'hidden_size': 128, 'learning_rate': 0.0001, 'n_layers': 3, 'teacher_forcing_ratio': 1.0}",10.393923822730182
"{'batch_size': 32, 'dropout': 0.0, 'hidden_size': 32, 'learning_rate': 0.0001, 'n_layers': 1, 'teacher_forcing_ratio': 1.0}",10.43270270612437
"{'batch_size': 64, 'dropout': 0.0, 'hidden_size': 32, 'learning_rate': 0.05, 'n_layers': 2, 'teacher_forcing_ratio': 0.5}",10.600898962100333
"{'batch_size': 64, 'dropout': 0.4, 'hidden_size': 64, 'learning_rate': 0.01, 'n_layers': 1, 'teacher_forcing_ratio': 0.7}",9.336932228586498
"{'batch_size': 32, 'dropout': 0.1, 'hidden_size': 64, 'learning_rate': 0.001, 'n_layers': 2, 'teacher_forcing_ratio': 1.0}",10.304777270737642
"{'batch_size': 16, 'dropout': 0.0, 'hidden_size': 32, 'learning_rate': 0.005, 'n_layers': 3, 'teacher_forcing_ratio': 1.0}",9.843333236170007
